HOTEL_NAME,DIM_HOTEL_CITY,HOTEL_STARS_RATING,SUM(BASE_PRICE),SUM(TOTAL_ROOM_NIGHTS)
Days Inn by Wyndham 100 Mile House,101 Mile House,2.5,164.58,2.0
Hesperia A Coruña Centro,A Coruna,4.0,2450.57,20.0
ibis budget Aachen City,Aachen,3.0,1409.15,21.0
Boutique Hotel Sonne Seuzach,Aadorf,3.5,378.74,2.0
Hotel Jomfru Ane,Aalborg,3.0,83.19,1.0
Athome Apartments,Aarhus,3.0,782.75,11.0
Best Western Abbeville Inn & Suites,Abbeville,2.5,379.41,4.0
Best Western Plus Regency Inn & Conference Centre,Abbotsford,3.0,2444.51,17.0
Rox Hotel,Aberdeen,4.0,326.83,4.0
Hampton Inn & Suites Southern Pines-Pinehurst,Aberdeen,2.5,5721.81,34.0
Village Hotel Aberdeen,Aberdeen,4.0,3541.76,34.0
Roots Hotel Apartments,Abidjan,4.0,1626.23,13.0
Rixos Marina Abu Dhabi,Abu Dhabi,5.0,1386.5,4.0
The Africa Regent,Accra,4.0,3787.58,22.0
4 Spa Resort Hotel,Aci Castello,4.0,254.07,2.0
Ibis Styles Catania Acireale,Acireale,4.0,327.04,3.0
Americas Best Value Inn Addison Dallas,Addison,2.0,135.4,2.0
Comfort Inn & Suites Sombrero,Adelaide,3.0,1886.59,17.0
Mawson Lakes,Adelaide,4.0,6319.89,67.0
Parkhotel Schmid,Adelsried,4.0,1423.47,15.0
Sheraton Agoura Hills Hotel,Agoura Hills,3.5,67995.63,394.0
Fiesta Inn Aguascalientes,Aguascalientes,3.5,474.0,6.0
Pension Leonardo Aidenbach,Aidenbach,3.0,179.84,3.0
Fairfield Inn & Suites Airdrie,Airdrie,2.5,1559.42,12.0
Novotel Aix Pont De L'arc,Aix En Provence,0.0,286.2,2.0
L'entrecasteaux,Aix En Provence,3.0,424.42,5.0
Les Loges du Park,Aix Les Bains,3.0,501.46,4.0
ibis Aix-en-Provence,AixenProvence,3.0,1630.76,12.0
Hotel Cardinal,AixenProvence,2.0,320.04,3.0
"The Ritz-Carlton Ras Al Khaimah, Al Hamra Beach",Al Hamra Village,5.0,1239.86,2.0
Comfort Inn & Suites Alamosa,Alamosa,2.5,868.36,6.0
Morgan State House,Albany,3.5,2008.47,10.0
Campanile Albi Centre,Albi,3.0,501.96,7.0
Royal Extended Stay Alcoa By Magnuson Worldwide,Alcoa,2.5,60.81,1.0
Alexandra Heights Motel,Alexandra,4.0,329.78,3.0
Romance Alexandria Hotel,Alexandria,4.0,263.38,4.0
Sheraton Montazah,Alexandria,5.0,3003.2,28.0
Aparthotel Albufera,Alfafar,4.0,216.79,2.0
Hotel Catalunya,Alghero,4.0,2280.56,21.0
Snooze Apartments Alling,Alling,3.0,234.82,2.0
Sonesta ES Suites Atlanta Alpharetta Avalon,Alpharetta,3.0,6133.56,69.0
Rössle,Alpirsbach,3.0,699.13,9.0
